,IdLandkreis,Refdatum,AnzahlFall
650,1003,2021-01-24,37
651,1003,2021-01-25,26
652,1003,2021-01-26,81
653,1003,2021-01-27,47
654,1003,2021-01-28,39
655,1003,2021-01-29,36
656,1003,2021-01-30,37
657,1003,2021-01-31,18
658,1003,2021-02-01,31
659,1003,2021-02-02,52
660,1003,2021-02-03,36
661,1003,2021-02-04,47
662,1003,2021-02-05,23
663,1003,2021-02-06,22
664,1003,2021-02-07,27
665,1003,2021-02-08,19
666,1003,2021-02-09,48
667,1003,2021-02-10,23
668,1003,2021-02-11,25
669,1003,2021-02-12,26
670,1003,2021-02-13,23
671,1003,2021-02-14,11
672,1003,2021-02-15,22
673,1003,2021-02-16,19
674,1003,2021-02-17,15
675,1003,2021-02-18,17
676,1003,2021-02-19,18
677,1003,2021-02-20,14
678,1003,2021-02-21,9
679,1003,2021-02-22,18
680,1003,2021-02-23,12
681,1003,2021-02-24,17
682,1003,2021-02-25,10
683,1003,2021-02-26,14
684,1003,2021-02-27,11
685,1003,2021-02-28,4
686,1003,2021-03-01,8
687,1003,2021-03-02,4
688,1003,2021-03-03,12
689,1003,2021-03-04,10
690,1003,2021-03-05,7
691,1003,2021-03-06,9
692,1003,2021-03-07,9
693,1003,2021-03-08,8
694,1003,2021-03-09,13
695,1003,2021-03-10,8
696,1003,2021-03-11,20
697,1003,2021-03-12,15
698,1003,2021-03-13,11
699,1003,2021-03-14,13
700,1003,2021-03-15,12
701,1003,2021-03-16,15
702,1003,2021-03-17,21
703,1003,2021-03-18,22
704,1003,2021-03-19,15
705,1003,2021-03-20,12
706,1003,2021-03-21,20
707,1003,2021-03-22,23
708,1003,2021-03-23,17
709,1003,2021-03-24,22
710,1003,2021-03-25,19
711,1003,2021-03-26,22
712,1003,2021-03-27,21
713,1003,2021-03-28,23
714,1003,2021-03-29,25
715,1003,2021-03-30,17
716,1003,2021-03-31,26
717,1003,2021-04-01,22
718,1003,2021-04-02,22
719,1003,2021-04-03,21
720,1003,2021-04-04,22
721,1003,2021-04-05,27
722,1003,2021-04-06,17
723,1003,2021-04-07,29
724,1003,2021-04-08,21
725,1003,2021-04-09,18
726,1003,2021-04-10,14
727,1003,2021-04-11,12
728,1003,2021-04-12,14
729,1003,2021-04-13,24
730,1003,2021-04-14,22
731,1003,2021-04-15,15
732,1003,2021-04-16,21
733,1003,2021-04-17,13
734,1003,2021-04-18,20
735,1003,2021-04-19,20
736,1003,2021-04-20,17
737,1003,2021-04-21,13
738,1003,2021-04-22,13
739,1003,2021-04-23,12
740,1003,2021-04-24,10
741,1003,2021-04-25,10
742,1003,2021-04-26,20
743,1003,2021-04-27,18
744,1003,2021-04-28,18
745,1003,2021-04-29,14
746,1003,2021-04-30,10
747,1003,2021-05-01,8
748,1003,2021-05-02,13
749,1003,2021-05-03,24
750,1003,2021-05-04,27
751,1003,2021-05-05,14
752,1003,2021-05-06,15
753,1003,2021-05-07,8
754,1003,2021-05-08,15
755,1003,2021-05-09,10
756,1003,2021-05-10,15
757,1003,2021-05-11,15
758,1003,2021-05-12,12
759,1003,2021-05-13,9
760,1003,2021-05-14,13
761,1003,2021-05-15,13
762,1003,2021-05-16,12
763,1003,2021-05-17,14
764,1003,2021-05-18,25
765,1003,2021-05-19,12
766,1003,2021-05-20,9
767,1003,2021-05-21,13
768,1003,2021-05-22,4
769,1003,2021-05-23,3
770,1003,2021-05-24,5
771,1003,2021-05-25,10
772,1003,2021-05-26,6
773,1003,2021-05-27,11
774,1003,2021-05-28,3
775,1003,2021-05-29,7
776,1003,2021-05-30,4
777,1003,2021-05-31,3
778,1003,2021-06-01,5
779,1003,2021-06-02,2
780,1003,2021-06-03,1
781,1003,2021-06-04,4
782,1003,2021-06-05,6
783,1003,2021-06-06,1
784,1003,2021-06-07,6
785,1003,2021-06-08,9
786,1003,2021-06-10,1
787,1003,2021-06-11,2
788,1003,2021-06-12,1
789,1003,2021-06-13,2
790,1003,2021-06-14,5
791,1003,2021-06-15,1
792,1003,2021-06-16,1
793,1003,2021-06-21,2
794,1003,2021-06-23,1
795,1003,2021-06-25,1
796,1003,2021-06-28,1
797,1003,2021-06-29,6
798,1003,2021-06-30,3
799,1003,2021-07-01,2
800,1003,2021-07-02,1
801,1003,2021-07-03,4
802,1003,2021-07-04,2
803,1003,2021-07-05,3
804,1003,2021-07-06,4
805,1003,2021-07-07,1
806,1003,2021-07-08,3
807,1003,2021-07-09,4
808,1003,2021-07-10,3
809,1003,2021-07-12,5
810,1003,2021-07-13,2
811,1003,2021-07-14,4
812,1003,2021-07-15,6
813,1003,2021-07-16,5
814,1003,2021-07-17,5
815,1003,2021-07-18,9
816,1003,2021-07-19,7
817,1003,2021-07-20,7
818,1003,2021-07-21,7
819,1003,2021-07-22,15
820,1003,2021-07-23,8
821,1003,2021-07-24,15
822,1003,2021-07-25,10
823,1003,2021-07-26,14
824,1003,2021-07-27,7
825,1003,2021-07-28,9
826,1003,2021-07-29,11
827,1003,2021-07-30,9
828,1003,2021-07-31,21
829,1003,2021-08-01,11
830,1003,2021-08-02,20
831,1003,2021-08-03,25
832,1003,2021-08-04,17
833,1003,2021-08-05,11
834,1003,2021-08-06,22
835,1003,2021-08-07,10
836,1003,2021-08-08,8
837,1003,2021-08-09,18
838,1003,2021-08-10,23
839,1003,2021-08-11,16
840,1003,2021-08-12,12
841,1003,2021-08-13,17
842,1003,2021-08-14,22
843,1003,2021-08-15,10
844,1003,2021-08-16,15
845,1003,2021-08-17,17
846,1003,2021-08-18,21
847,1003,2021-08-19,15
848,1003,2021-08-20,12
849,1003,2021-08-21,16
850,1003,2021-08-22,30
851,1003,2021-08-23,28
852,1003,2021-08-24,28
853,1003,2021-08-25,29
854,1003,2021-08-26,24
855,1003,2021-08-27,28
856,1003,2021-08-28,23
857,1003,2021-08-29,19
858,1003,2021-08-30,19
859,1003,2021-08-31,21
860,1003,2021-09-01,19
861,1003,2021-09-02,11
862,1003,2021-09-03,19
863,1003,2021-09-04,16
864,1003,2021-09-05,12
865,1003,2021-09-06,24
866,1003,2021-09-07,17
867,1003,2021-09-08,8
868,1003,2021-09-09,15
869,1003,2021-09-10,8
870,1003,2021-09-11,14
871,1003,2021-09-12,7
872,1003,2021-09-13,14
873,1003,2021-09-14,10
874,1003,2021-09-15,10
875,1003,2021-09-16,10
876,1003,2021-09-17,9
877,1003,2021-09-18,7
878,1003,2021-09-19,7
879,1003,2021-09-20,7
880,1003,2021-09-21,3
881,1003,2021-09-22,4
882,1003,2021-09-23,12
883,1003,2021-09-24,6
884,1003,2021-09-25,8
885,1003,2021-09-26,4
886,1003,2021-09-27,9
887,1003,2021-09-28,6
888,1003,2021-09-29,10
889,1003,2021-09-30,5
890,1003,2021-10-01,4
891,1003,2021-10-02,3
892,1003,2021-10-03,9
893,1003,2021-10-04,11
894,1003,2021-10-05,11
895,1003,2021-10-06,6
896,1003,2021-10-07,7
897,1003,2021-10-08,11
898,1003,2021-10-09,6
899,1003,2021-10-10,7
900,1003,2021-10-11,4
901,1003,2021-10-12,13
902,1003,2021-10-13,7
903,1003,2021-10-14,6
904,1003,2021-10-15,12
905,1003,2021-10-16,13
906,1003,2021-10-17,15
907,1003,2021-10-18,14
908,1003,2021-10-19,26
909,1003,2021-10-20,18
910,1003,2021-10-21,7
911,1003,2021-10-22,25
912,1003,2021-10-23,13
913,1003,2021-10-24,14
914,1003,2021-10-25,31
915,1003,2021-10-26,26
916,1003,2021-10-27,18
917,1003,2021-10-28,16
918,1003,2021-10-29,33
919,1003,2021-10-30,13
920,1003,2021-10-31,17
921,1003,2021-11-01,33
922,1003,2021-11-02,26
923,1003,2021-11-03,27
924,1003,2021-11-04,43
925,1003,2021-11-05,36
926,1003,2021-11-06,42
927,1003,2021-11-07,23
928,1003,2021-11-08,43
929,1003,2021-11-09,49
930,1003,2021-11-10,53
931,1003,2021-11-11,37
932,1003,2021-11-12,39
933,1003,2021-11-13,26
934,1003,2021-11-14,30
935,1003,2021-11-15,24
936,1003,2021-11-16,26
937,1003,2021-11-17,38
938,1003,2021-11-18,67
939,1003,2021-11-19,92
940,1003,2021-11-20,13
941,1003,2021-11-21,6
942,1003,2021-11-22,57
943,1003,2021-11-23,83
944,1003,2021-11-24,93
945,1003,2021-11-25,119
946,1003,2021-11-26,101
947,1003,2021-11-27,24
948,1003,2021-11-28,14
949,1003,2021-11-29,20
950,1003,2021-11-30,90
951,1003,2021-12-01,52
952,1003,2021-12-02,56
953,1004,2021-01-01,2
954,1004,2021-01-02,2
955,1004,2021-01-03,12
956,1004,2021-01-04,12
957,1004,2021-01-05,9
958,1004,2021-01-06,16
959,1004,2021-01-07,11
960,1004,2021-01-08,7
961,1004,2021-01-09,12
962,1004,2021-01-10,7
963,1004,2021-01-11,18
964,1004,2021-01-12,7
965,1004,2021-01-13,17
966,1004,2021-01-14,15
967,1004,2021-01-15,12
968,1004,2021-01-16,12
969,1004,2021-01-17,9
970,1004,2021-01-18,11
971,1004,2021-01-19,12
972,1004,2021-01-20,11
973,1004,2021-01-21,24
974,1004,2021-01-22,14
975,1004,2021-01-23,8
976,1004,2021-01-24,6
977,1004,2021-01-25,7
978,1004,2021-01-26,8
979,1004,2021-01-27,6
980,1004,2021-01-28,11
981,1004,2021-01-29,8
982,1004,2021-01-30,9
983,1004,2021-01-31,4
984,1004,2021-02-01,3
985,1004,2021-02-02,7
986,1004,2021-02-03,5
987,1004,2021-02-04,4
988,1004,2021-02-05,12
989,1004,2021-02-06,7
990,1004,2021-02-07,1
